file,title,creator,license,license_url,source_page
paket/paket_nasi_liwet.jpg,Menu 2 - Warung Gudeg,avlxyz,BY-SA,https://creativecommons.org/licenses/by-sa/2.0/,https://www.flickr.com/photos/10559879@N00/4674035844
paket/paket_nasi_kuning.jpg,Beef Rendang with Nasi Kuning and Green Beans,FotoosVanRobin,BY-SA,https://creativecommons.org/licenses/by-sa/2.0/,https://commons.wikimedia.org/w/index.php?curid=6721715
paket/paket_nasi_gurame.jpg,Warung Lesehan dan Kolam Pancing Agung - Nasi 152949,Abdul Hanif Arromy,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=193120006
lauk_hewani/lh01_ayam_bakar.jpg,Nasi Ayam Bakar Madu & Sambal,Cendy00,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=164066681
lauk_nabati_sayur/np02_tahu_bacem.jpg,42. Tahu bacem 2,Danangtrihartanto,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=79002035
lauk_nabati_sayur/np03_perkedel.jpg,Nasi Lemak Medan Rendang 3,Gunawan Kartapranata,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=63257134
lauk_nabati_sayur/sy01_bayam.jpg,Sayur Bening,Fido Cahya,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=98912313
sekolah_sppg/sekolah_1.jpg,Hendy Setiono 1983,Cahaya26,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en/,https://commons.wikimedia.org/w/index.php?curid=149340131
sekolah_sppg/sekolah_2.jpg,Benjamin Molle,Benni Molle,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=134214451
kendaraan_peralatan/mobil_1.jpg,20200824-FNS-LSC-0059,USDAgov,PDM,https://creativecommons.org/publicdomain/mark/1.0/,https://www.flickr.com/photos/41284017@N08/50272654242
kendaraan_peralatan/mobil_2.jpg,20200824-FNS-LSC-0647,USDAgov,PDM,https://creativecommons.org/publicdomain/mark/1.0/,https://www.flickr.com/photos/41284017@N08/50272653547
profil/profil_pria_dewasa.jpg,120625-F-MQ483-076,Pacific Air Forces,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/69646446@N02/7441175724
profil/profil_wanita_dewasa.jpg,130426-F-VS478-108,Pacific Air Forces,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/69646446@N02/8683295736
profil/profil_pria_paruh_baya.jpg,Street 18/52,Go-tea 郭天,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/131814204@N04/29930002412
profil/profil_guru.jpg,Village School Classroom,ToGa Wanderings,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/69031678@N00/6416193813
buah_susu/buah_semangka.jpg,"cardinalfish, false three-spot cardinalfish, redfin cardinalfish, sebekah, sebekah sirip merah, semangka, seriding, twobar cardinalfish, 玫鰭天竺鯛, 玫鳍天竺鲷",Ditch Townsend,BY-SA,http://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/363228678
buah_susu/susu_uht.jpg,Budak kecik yg kehausan. Singgah Petron beli susu kotak tghri td :),abul az abu jamil,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/9685090@N05/16833894565
kendaraan_peralatan/tray_1.jpg,"Rikki's Refuge Care, Administration and Maintenance - Wish List",rikkis_refuge,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/60109376@N00/16045070719
kendaraan_peralatan/tray_2.jpg,strawberry Bruschetta toast with honey ricotta balsamic vinegar mint and basil on a personalized stainless steel engraved tray,PersonalCreations.com,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/127294011@N07/16218993459
profil/profil_wanita_paruh_baya.jpg,Street 18/52,Go-tea 郭天,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/131814204@N04/29930002412
profil/profil_anak_sekolah.jpg,"BALI, INDONESIA - MAY 17, 2018: Balinese girls in Ubud. Indonesian kids.",Artem Beliaikin,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.flickr.com/photos/157635012@N07/41918373564
paket/paket_nasi_ayam_goreng.jpg,"Nasi ayam goreng, De Caffeinator, 2023 (01)",Bahnfrend,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=177659294
paket/paket_nasi_uduk.jpg,Nasi Uduk with emping,"Dina Middin from Jakarta, Indonesia",BY,https://creativecommons.org/licenses/by/2.0/,https://commons.wikimedia.org/w/index.php?curid=7969446
lauk_hewani/lh02_rendang.jpg,File:Rendang daging sapi asli Padang.JPG,Midori,BY,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/w/index.php?curid=16433688
lauk_hewani/lh03_gurame_bakar.jpg,Warung Lesehan dan Kolam Pancing Agung - Ikan Bakar 153027,Abdul Hanif Arromy,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=193120007
lauk_hewani/lh04_ayam_goreng.jpg,Makanan Indonesia,Cendy00,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=176740862
lauk_hewani/lh06_semur_bola_daging.jpg,Semur - Pont Joly 03,Christophe.Finot,BY-SA,https://creativecommons.org/licenses/by-sa/2.5/,https://commons.wikimedia.org/w/index.php?curid=1518390
lauk_hewani/lh07_telur_balado.jpg,Nasi uduk telur balado Jkt 11 Juli 18,Cun Cun,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=70747317
lauk_nabati_sayur/np01_tempe_orek.jpg,Nasi Uduk Box,Gunawan Kartapranata,BY-SA,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/w/index.php?curid=15739035
lauk_nabati_sayur/np04_sambal_goreng.jpg,Nasi Kuning Ibu Sulastri,Gunawan Kartapranata,BY-SA,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/w/index.php?curid=11652783
lauk_nabati_sayur/sy02_sup_wortel.jpg,Sup daging2,Onyaso,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=87911171
lauk_nabati_sayur/sy03_capcay.jpg,Capcay Sapi Mie Awek Prabumulih,Clysmic,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=180429292
lauk_nabati_sayur/sy04_cah_buncis.jpg,20100710 tumi nagoya 03,たー坊,BY-SA,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/w/index.php?curid=10967725
lauk_nabati_sayur/sy05_tumis_kacang.jpg,Kacang bendi tumis,Anarohana70,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=102950133
buah_susu/buah_apel.jpg,Buah Apel Merah,Edo Marendra,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=135843192
buah_susu/buah_pisang.jpg,"Pisang Ambon yang dijual di Taman Sari - Yogyakarta, YO",Firzafp,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=128167251
sekolah_sppg/sekolah_3.jpg,File:Dudi sabil iskandar.jpg,Lorenzo oktivano,BY-SA,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/w/index.php?curid=40884820
